url,activity_tags
https://www.coke2home.com/toofanibiryanihunt,[]
https://www.coke2home.com/toofanibiryanihunt/contact-us,[]
https://www.coke2home.com/toofanibiryanihunt/biryani-leaderboard,[]
https://www.coke2home.com/toofanibiryanihunt/categories,[]
https://www.coke2home.com/toofanibiryanihunt/auth,[]
https://www.coke2home.com/toofanibiryanihunt/dashboard,[]
https://www.coke2home.com/toofanibiryanihunt/faqs,[]
https://www.coke2home.com/toofanibiryanihunt/hte,[]
https://www.coke2home.com/toofanibiryanihunt/play,[]
https://www.coke2home.com/toofanibiryanihunt/outlets,[]
