_dc_test,_tu,auiddc,cat,dc_fmt,dc_pre,dc_random,dma,epver,frm,gcd,gtm,npa,num,ord,pscdl,src,tag_exp,type,uaa,uab,uafvl,uam,uamb,uap,uapv,uaw,~oref
,IJA,324021784.1747936104,thums02r,3,,1747936104764,0,2,0,13l3l3l3l1l1,45fe55l0v9190126132za200,0,1028282339181,1,noapi,12665261,101509157~103116026~103130498~103130500~103136993~103136995~103200004~103233427~103252644~103252646~103301114~103301116,thums0,x86,64,Chromium;136.0.7103.114|Google%20Chrome;136.0.7103.114|Not.A%2FBrand;99.0.0.0,,0,Windows,19.0.0,0,https://www.coke2home.com/toofanibiryanihunt/
1,IJA,324021784.1747936104,thums02r,2,,1747936104764,0,2,0,13l3l3l3l1l1,45fe55l0v9190126132za200,0,1028282339181,1,noapi,12665261,101509157~103116026~103130498~103130500~103136993~103136995~103200004~103233427~103252644~103252646~103301114~103301116,thums0,x86,64,Chromium;136.0.7103.114|Google%20Chrome;136.0.7103.114|Not.A%2FBrand;99.0.0.0,,0,Windows,19.0.0,0,https://www.coke2home.com/toofanibiryanihunt/
,IJA,324021784.1747936104,thums02r,3,COfD-7TRt40DFcWz2AUd1-cWOw,1747936104764,0,2,0,13l3l3l3l1l1,45fe55l0v9190126132za200,0,1028282339181,1,noapi,12665261,101509157~103116026~103130498~103130500~103136993~103136995~103200004~103233427~103252644~103252646~103301114~103301116,thums0,x86,64,Chromium;136.0.7103.114|Google%20Chrome;136.0.7103.114|Not.A%2FBrand;99.0.0.0,,0,Windows,19.0.0,0,https://www.coke2home.com/toofanibiryanihunt/
1,IJA,324021784.1747936104,thums02r,2,CM3S_bTRt40DFYpbnQkdNmwrOQ,1747936104764,0,2,0,13l3l3l3l1l1,45fe55l0v9190126132za200,0,1028282339181,1,noapi,12665261,101509157~103116026~103130498~103130500~103136993~103136995~103200004~103233427~103252644~103252646~103301114~103301116,thums0,x86,64,Chromium;136.0.7103.114|Google%20Chrome;136.0.7103.114|Not.A%2FBrand;99.0.0.0,,0,Windows,19.0.0,0,https://www.coke2home.com/toofanibiryanihunt/
